transcript_id,transcript_position,score
ENST00000175506,1381,0.52
ENST00000005257,873,0.73
ENST00000000233,471,0.46
ENST00000005286,3462,0.25
ENST00000170447,2409,0.54
ENST00000005260,863,0.57
ENST00000007390,1151,0.48
ENST00000011619,2448,0.15
ENST00000037869,1289,0.17
ENST00000166345,701,0.46
ENST00000085068,640,0.48
ENST00000009041,531,0.55
ENST00000003100,3032,0.41
ENST00000054950,923,0.4
ENST00000014930,475,0.25
ENST00000173527,1226,0.58
ENST00000175506,1750,0.71
ENST00000561482,1013,0.46
ENST00000054666,452,0.41
ENST00000011619,1279,0.21
ENST00000549273,44,0.54
ENST00000012443,701,0.5
ENST00000157812,709,0.42
ENST00000005386,1975,0.6
ENST00000055077,529,0.44
ENST00000157812,1132,0.62
ENST00000055077,1228,0.43
ENST00000175506,1635,0.56
ENST00000007264,298,0.58
ENST00000055077,999,0.55
ENST00000053468,841,0.36
ENST00000012443,923,0.46
ENST00000166345,1989,0.15
ENST00000357348,279,0.16
ENST00000157812,1141,0.64
ENST00000037869,428,0.32
ENST00000037243,269,0.51
ENST00000169551,389,0.03
ENST00000044462,503,0.42
ENST00000166345,952,0.57
ENST00000199389,250,0.33
ENST00000007390,846,0.3
ENST00000053867,353,0.05
ENST00000561482,1196,0.45
ENST00000005257,600,0.83
ENST00000011619,2067,0.47
ENST00000007390,693,0.61
ENST00000003100,2737,0.61
ENST00000173527,836,0.5
ENST00000011619,1821,0.52
ENST00000199389,934,0.84
ENST00000002165,534,0.82
ENST00000000412,2580,0.51
ENST00000001008,776,0.52
ENST00000175506,2165,0.64
ENST00000601697,519,0.47
ENST00000158771,797,0.35
ENST00000005386,2265,0.25
ENST00000394308,1183,0.51
ENST00000394308,105,0.63
ENST00000009589,147,0.43
ENST00000023939,752,0.34
ENST00000055077,1335,0.35
ENST00000003100,1072,0.57
ENST00000005340,2909,0.26
ENST00000357348,371,0.61
ENST00000081029,1771,0.76
ENST00000081029,1514,0.64
ENST00000166345,1611,0.64
ENST00000023939,1014,0.55
ENST00000552588,422,0.43
ENST00000022615,907,0.53
ENST00000013807,845,0.5
ENST00000053468,503,0.45
ENST00000005260,1861,0.22
ENST00000054666,1687,0.67
ENST00000066544,5206,0.74
ENST00000001008,2002,0.78
ENST00000001008,990,0.57
ENST00000175091,1049,0.2
ENST00000000412,501,0.53
ENST00000005260,1918,0.55
ENST00000053867,2070,0.47
ENST00000001008,1555,0.36
ENST00000549273,324,0.69
ENST00000022615,7,0.51
ENST00000011619,2686,0.11
ENST00000014914,2238,0.62
ENST00000081029,810,0.49
ENST00000053468,2052,0.42
ENST00000081029,749,0.14
ENST00000199389,410,0.37
ENST00000009041,933,0.79
ENST00000005286,2622,0.68
ENST00000016171,285,0.43
ENST00000081029,1465,0.57
ENST00000055077,1133,0.7
ENST00000000412,1661,0.5
ENST00000011619,2593,0.62
ENST00000037869,149,0.54
ENST00000007264,1116,0.74
ENST00000016171,2105,0.61
ENST00000023939,467,0.52
ENST00000044462,387,0.18
ENST00000005386,238,0.6
ENST00000394308,1602,0.2
ENST00000157812,1282,0.58
ENST00000053468,1953,0.52
ENST00000394308,1514,0.59
ENST00000022615,359,0.54
ENST00000053867,2053,0.55
ENST00000000233,696,0.07
ENST00000561482,1031,0.45
ENST00000007264,877,0.39
ENST00000168216,73,0.26
ENST00000168216,519,0.32
ENST00000054950,1573,0.52
ENST00000524349,728,0.41
ENST00000000412,1545,0.61
ENST00000005260,1703,0.63
ENST00000521262,638,0.53
ENST00000166345,554,0.48
ENST00000561482,2387,0.39
ENST00000016171,1107,0.57
ENST00000053468,549,0.51
ENST00000199389,1981,0.49
ENST00000357348,420,0.49
